Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content
QUEENS,NY,"10,925.00",0.00,"10,925.00","11,000.00",0.00,"11,000.00"
ROCKLAND,NY,"268,858.00","235,885.00","32,973.00","31,300.00","28,400.00","2,900.00"
NASSAU,NY,"25,423.00","24,923.00",500.00,"18,100.00","17,600.00",500.00
SUFFOLK,NY,"136,258.00","116,573.00","19,685.00","62,500.00","53,400.00","9,100.00"
SUFFOLK,NY,"10,894,475.00","7,817,121.00","3,077,354.00","5,192,800.00","3,231,300.00","1,824,600.00"
SUFFOLK,NY,"72,794.00","49,899.00","22,895.00",0.00,0.00,0.00
NASSAU,NY,"103,817.00","84,057.00","19,760.00",0.00,0.00,0.00
SUFFOLK,NY,"65,139,834.00","48,089,540.00","17,050,294.00","28,968,000.00","20,031,700.00","8,813,300.00"
SULLIVAN,NY,525.00,0.00,525.00,0.00,0.00,0.00
SUFFOLK,NY,"184,273.00","138,773.00","45,500.00",0.00,0.00,0.00
SUFFOLK,NY,"252,658.00","191,708.00","60,950.00","186,900.00","146,900.00","40,000.00"
SUFFOLK,NY,"101,728.00","66,776.00","34,952.00",0.00,0.00,0.00
SUFFOLK,NY,"94,659.00","58,859.00","35,800.00",0.00,0.00,0.00
SUFFOLK,NY,"163,717.00","126,277.00","37,440.00","88,100.00","50,700.00","37,400.00"
SUFFOLK,NY,"336,548.00","281,478.00","55,070.00","193,700.00","165,200.00","28,500.00"
WESTCHESTER,NY,"16,619.00","14,819.00","1,800.00",0.00,0.00,0.00
QUEENS,NY,"103,726.00","66,626.00","37,100.00",0.00,0.00,0.00
WESTCHESTER,NY,"343,399.00","333,049.00","10,350.00","116,700.00","115,300.00","1,400.00"
NEW YORK,NY,"21,775.00",0.00,"21,775.00",0.00,0.00,0.00
QUEENS,NY,"54,183.00","36,433.00","17,750.00",0.00,0.00,0.00
QUEENS,NY,"336,444.00","171,179.00","165,265.00",0.00,0.00,0.00
NEW YORK,NY,"271,784.00","99,609.00","172,175.00","112,700.00","39,000.00","73,700.00"
QUEENS,NY,"35,906,418.00","21,681,591.00","14,224,827.00","11,211,400.00","6,277,600.00","4,933,800.00"
QUEENS,NY,"52,525.00",0.00,"52,525.00","20,000.00",0.00,"20,000.00"
QUEENS,NY,"114,149.00","78,889.00","35,260.00",0.00,0.00,0.00
QUEENS,NY,"66,815.00","56,115.00","10,700.00","28,000.00","17,300.00","10,700.00"
QUEENS,NY,"93,234.00","51,609.00","41,625.00",0.00,0.00,0.00
SUFFOLK,NY,"217,779.00","111,754.00","106,025.00","117,600.00","77,600.00","40,000.00"
NEW YORK,NY,"6,775.00",0.00,"6,775.00","6,800.00",0.00,"6,800.00"
QUEENS,NY,"85,165.00","64,978.00","20,187.00","11,100.00",0.00,"11,100.00"
QUEENS,NY,"27,937.00","27,937.00",0.00,"11,200.00","11,200.00",0.00
RICHMOND,NY,"6,300.00",0.00,"6,300.00",0.00,0.00,0.00
QUEENS,NY,"21,979.00","16,479.00","5,500.00","11,300.00","9,600.00","1,700.00"
QUEENS,NY,"26,055.00",0.00,"26,055.00","1,100.00",0.00,"1,100.00"
NASSAU,NY,"11,427,376.00","7,837,774.00","3,589,602.00","4,086,200.00","2,783,400.00","1,302,800.00"
QUEENS,NY,"76,346.00","47,046.00","29,300.00",0.00,0.00,0.00
KINGS,NY,"3,000.00",0.00,"3,000.00",0.00,0.00,0.00
QUEENS,NY,"135,839.00","85,789.00","50,050.00","14,000.00",0.00,"14,000.00"
SUFFOLK,NY,"14,125.00","1,500.00","12,625.00",0.00,0.00,0.00
SUFFOLK,NY,"98,759.00","71,959.00","26,800.00",0.00,0.00,0.00
SUFFOLK,NY,"69,002,957.00","51,742,867.00","17,260,090.00","31,856,200.00","22,710,300.00","8,998,800.00"
SUFFOLK,NY,"110,087.00","77,562.00","32,525.00","110,100.00","77,600.00","32,500.00"
NASSAU,NY,"55,142,032.00","39,478,226.00","15,663,806.00","21,336,700.00","14,703,200.00","6,627,800.00"
NEW YORK,NY,"188,448.00","145,948.00","42,500.00","94,100.00","70,300.00","23,800.00"
NASSAU,NY,"4,300.00",0.00,"4,300.00",0.00,0.00,0.00
NASSAU,NY,"16,100.00",0.00,"16,100.00","16,100.00",0.00,"16,100.00"
NASSAU,NY,"2,914,280.00","2,134,984.00","779,296.00","1,235,000.00","909,900.00","325,100.00"
NASSAU,NY,"52,159.00","29,334.00","22,825.00",0.00,0.00,0.00
WESTCHESTER,NY,"52,656.00","49,156.00","3,500.00","37,700.00","34,200.00","3,500.00"
SUFFOLK,NY,"152,724.00","121,174.00","31,550.00",0.00,0.00,0.00
SUFFOLK,NY,"10,982,571.00","8,892,996.00","2,089,575.00","4,178,800.00","3,163,700.00","1,015,100.00"
SUFFOLK,NY,"3,739,216.00","3,221,496.00","517,720.00","1,769,600.00","1,521,700.00","247,900.00"
SUFFOLK,NY,"620,606.00","517,701.00","102,905.00","66,800.00","52,000.00","14,800.00"
NEW YORK,NY,"6,065.00","5,665.00",400.00,"3,700.00","3,300.00",400.00
QUEENS,NY,"15,822.00","15,822.00",0.00,"11,400.00","11,400.00",0.00
NEW YORK,NY,"21,564.00","21,564.00",0.00,"21,600.00","21,600.00",0.00
QUEENS,NY,"57,796.00","15,641.00","42,155.00","19,200.00","14,000.00","5,200.00"
QUEENS,NY,"19,837.00","19,837.00",0.00,0.00,0.00,0.00
QUEENS,NY,"11,169.00","9,869.00","1,300.00",0.00,0.00,0.00
QUEENS,NY,"27,155.00","26,355.00",800.00,0.00,0.00,0.00
NASSAU,NY,"4,909,746.00","3,602,753.00","1,306,993.00","2,346,400.00","1,602,700.00","743,700.00"
QUEENS,NY,"97,367.00","64,367.00","33,000.00",0.00,0.00,0.00
WESTCHESTER,NY,"59,171.00","43,646.00","15,525.00","40,700.00","37,300.00","3,400.00"
WESTCHESTER,NY,"128,398.00","110,848.00","17,550.00","14,000.00",600.00,"13,400.00"
QUEENS,NY,"201,790.00","170,465.00","31,325.00","169,200.00","137,900.00","31,300.00"
QUEENS,NY,"92,987.00","85,487.00","7,500.00","74,300.00","66,800.00","7,500.00"
QUEENS,NY,"41,600.00",0.00,"41,600.00",0.00,0.00,0.00
QUEENS,NY,"145,948.00","102,798.00","43,150.00","86,000.00","52,800.00","33,200.00"
KINGS,NY,"105,042.00","94,292.00","10,750.00",0.00,0.00,0.00
NEW YORK,NY,"113,691.00","85,516.00","28,175.00",0.00,0.00,0.00
QUEENS,NY,"76,263,427.00","51,836,689.00","24,426,738.00","35,742,300.00","24,846,100.00","10,896,200.00"
QUEENS,NY,"122,640.00","83,375.00","39,265.00","61,100.00","26,500.00","34,600.00"
QUEENS,NY,"53,366.00","51,266.00","2,100.00",0.00,0.00,0.00
QUEENS,NY,"68,136.00","11,936.00","56,200.00",0.00,0.00,0.00
QUEENS,NY,"166,543.00","139,943.00","26,600.00","66,800.00","50,800.00","16,000.00"
NASSAU,NY,"50,208,449.00","36,287,150.00","13,921,299.00","20,930,000.00","14,390,200.00","6,526,100.00"
NASSAU,NY,"54,175.00",0.00,"54,175.00","14,000.00",0.00,"14,000.00"
QUEENS,NY,"15,460.00",0.00,"15,460.00",0.00,0.00,0.00
SUFFOLK,NY,"75,226.00","69,426.00","5,800.00","32,100.00","29,600.00","2,500.00"
QUEENS,NY,"13,500.00",0.00,"13,500.00",0.00,0.00,0.00
